feature,ground_truth,score_order2
a1,informative,0.025185744252377913
a2,informative,0.03002385099645098
a3,noise,-0.002116965544575405
a4,noise,-0.0039431345323239645
a5,informative,0.09263650659021416
a6,noise,-0.0013461383844945716
