context,target,delta_mean,delta_std
"('X1',)",X2,-0.0023,
"('X1',)",X3,0.0024,
"('X2',)",X1,-0.0034,
"('X2',)",X3,-0.0038,
"('X3',)",X1,-0.0072,
"('X3',)",X2,-0.0068,
