,a1,a2,a3,a4,a5,a6
a1,,0.1526941429660665,-0.0031519958651970614,-0.0027789681935345457,0.09364139701303589,0.0005776681276645057
a2,0.13754356657643851,,-0.002386683185955536,-0.004159162604213731,0.0946481660906909,-0.003346684630547394
a3,-0.0020031618268717445,-0.0007525112046761073,,-0.0023487891202002764,0.0940146373058953,-0.00098274208524165
a4,-0.005757700206757184,-0.0025048389345073406,-0.0007722886279184604,,0.08866009219252373,-0.0014702532475882847
a5,-0.000606072945598708,5.979661290866023e-05,-0.002280249388219391,-0.007894977681501663,,-0.0015086800867600348
a6,-0.003247910335321327,0.0006226655424631833,-0.0019936106555865753,-0.0025337750621696052,0.09221824034892499,
