experiment,claim,seed_ix,seed,n,order,estimator,loss,target_feature,context_features,repeat,fold,delta,protocol,calibrated,context_feature
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),0,3,-0.029597233110613574,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),0,4,0.0026422732537580984,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),1,0,-0.00944555783101364,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),1,1,0.02373288591260414,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),1,2,-0.004342168777437427,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),1,3,-0.004365147395807956,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),1,4,0.0006412038425551714,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),2,0,-0.002530518897940315,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),2,1,-0.001945872519240166,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),2,2,-0.004532067390398575,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),2,3,0.023007254312421677,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),2,4,0.0008571219518442863,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),3,0,-0.005271314307169095,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),3,1,-0.007751613946661573,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),3,2,-0.03652421407562678,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),3,3,0.04409002950722396,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),3,4,0.0008467414109587512,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),4,0,0.0,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),4,1,0.02771818395203418,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),4,2,0.012106230941835161,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),4,3,-0.013718712899356555,,,
xor3,xor3_order1_zero,0,42,4096,1,dt,rmse,X3,(),4,4,0.04505635680018194,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",0,0,-0.030206706828006635,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",0,1,0.032958513980111404,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",0,2,-0.00938348336084105,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",0,3,-0.0008654945324031438,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",0,4,0.007818402396586599,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",1,0,0.0,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",1,1,-0.006149744901751686,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",1,2,0.005115138865718127,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",1,3,-0.021404716151592562,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",1,4,-0.013497031785322244,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",2,0,-0.03994070471512723,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",2,1,0.0,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",2,2,0.0,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",2,3,-0.033805504103660455,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",2,4,-0.015089235860426431,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",3,0,0.012880551008538133,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",3,1,0.0026190802731071994,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",3,2,-0.00608847333852458,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",3,3,0.04316512796390781,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",3,4,-0.006149744901751686,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",4,0,-0.012959152731073398,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",4,1,-0.02232825475396827,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",4,2,0.02117703457601816,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",4,3,0.0017515270781914838,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X2',)",4,4,0.004181265206404716,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",0,0,0.01823306576736472,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",0,1,-0.00430640768426549,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",0,2,-0.024046286687000373,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",0,3,0.005887613130436287,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",0,4,0.023485387594206042,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",1,0,-0.026001323529169174,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",1,1,-0.03779060724352257,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",1,2,-0.0025933074621644625,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",1,3,0.018000994972111273,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",1,4,-0.023034674400484567,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",2,0,-0.01653727639466207,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",2,1,-0.018824371796690498,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",2,2,-0.011210589170456253,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",2,3,0.004301184532652824,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",2,4,0.013925695955239847,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",3,0,-0.009377759979179778,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",3,1,-0.00423496816128488,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",3,2,-0.0017278129297613187,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",3,3,-0.005215447941529505,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",3,4,0.021801075831424654,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",4,0,-0.013865678456277064,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",4,1,-0.00965182833692646,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",4,2,0.0008633784041024439,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",4,3,-0.043733826362988504,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X1,"('X3',)",4,4,-0.03351781762684025,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",0,0,-0.024031619844106733,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",0,1,0.02614640019841563,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X1',)",0,2,-0.0111563592132774,,,
