feature,ground_truth,score_order1
a1,informative,-0.002590257329937236
a2,informative,0.0009390606203669913
a3,noise,-0.0011030376845573688
a4,noise,-0.0014414935752455026
a5,informative,0.09313101599174876
a6,noise,-0.0005972922986502982
