order,context_indices,target_idx,context_size,target_feature,ground_truth,context_features,repeat,fold,delta
2,"(4,)",0,1,a1,informative,"('a5',)",0,1,-0.0018819036925559196
2,"(4,)",0,1,a1,informative,"('a5',)",0,2,-0.007605148994098143
2,"(4,)",0,1,a1,informative,"('a5',)",0,3,-0.008322625395829064
2,"(4,)",0,1,a1,informative,"('a5',)",0,4,0.007823590306272499
2,"(4,)",0,1,a1,informative,"('a5',)",1,0,0.0013448116151333345
2,"(4,)",0,1,a1,informative,"('a5',)",1,1,-0.0047288136153271765
2,"(4,)",0,1,a1,informative,"('a5',)",1,2,-0.00824910231504311
2,"(4,)",0,1,a1,informative,"('a5',)",1,3,0.004430811452288852
2,"(4,)",0,1,a1,informative,"('a5',)",1,4,0.004257672927223732
2,"(4,)",0,1,a1,informative,"('a5',)",2,0,-0.006304826192745805
2,"(4,)",0,1,a1,informative,"('a5',)",2,1,0.018774744382358655
2,"(4,)",0,1,a1,informative,"('a5',)",2,2,0.0039272991665162404
2,"(4,)",0,1,a1,informative,"('a5',)",2,3,-0.01671195920281532
2,"(4,)",0,1,a1,informative,"('a5',)",2,4,-0.004103916687012821
2,"(4,)",0,1,a1,informative,"('a5',)",3,0,0.004408100441373131
2,"(4,)",0,1,a1,informative,"('a5',)",3,1,-0.011915393952936115
2,"(4,)",0,1,a1,informative,"('a5',)",3,2,-0.003930925361437132
2,"(4,)",0,1,a1,informative,"('a5',)",3,3,0.007136461122470128
2,"(4,)",0,1,a1,informative,"('a5',)",3,4,0.018769781624953907
2,"(4,)",0,1,a1,informative,"('a5',)",4,0,0.009619708396435278
2,"(4,)",0,1,a1,informative,"('a5',)",4,1,-0.004496580538009609
2,"(4,)",0,1,a1,informative,"('a5',)",4,2,0.005775202850864913
2,"(4,)",0,1,a1,informative,"('a5',)",4,3,0.0012684921478282596
2,"(4,)",0,1,a1,informative,"('a5',)",4,4,-0.026700343551319672
2,"(5,)",0,1,a1,informative,"('a6',)",0,0,-0.006755305366048958
2,"(5,)",0,1,a1,informative,"('a6',)",0,1,-0.0162199890088211
2,"(5,)",0,1,a1,informative,"('a6',)",0,2,-0.002524945326277117
2,"(5,)",0,1,a1,informative,"('a6',)",0,3,-0.013667194165845442
2,"(5,)",0,1,a1,informative,"('a6',)",0,4,0.005446588399329211
2,"(5,)",0,1,a1,informative,"('a6',)",1,0,0.0027038848243550184
2,"(5,)",0,1,a1,informative,"('a6',)",1,1,-0.0008758338636222218
2,"(5,)",0,1,a1,informative,"('a6',)",1,2,0.000805752797435777
2,"(5,)",0,1,a1,informative,"('a6',)",1,3,0.006673411117448014
2,"(5,)",0,1,a1,informative,"('a6',)",1,4,0.016133942704300575
2,"(5,)",0,1,a1,informative,"('a6',)",2,0,-0.01689298346481788
2,"(5,)",0,1,a1,informative,"('a6',)",2,1,0.0021048933224044886
2,"(5,)",0,1,a1,informative,"('a6',)",2,2,-0.01219008771379948
2,"(5,)",0,1,a1,informative,"('a6',)",2,3,-0.000681015819490649
2,"(5,)",0,1,a1,informative,"('a6',)",2,4,-0.0030858090747094558
2,"(5,)",0,1,a1,informative,"('a6',)",3,0,-0.007850362306039638
2,"(5,)",0,1,a1,informative,"('a6',)",3,1,-0.007650115101905608
2,"(5,)",0,1,a1,informative,"('a6',)",3,2,-0.016923937387593513
2,"(5,)",0,1,a1,informative,"('a6',)",3,3,-0.009061487379045607
2,"(5,)",0,1,a1,informative,"('a6',)",3,4,-0.003880017313420192
2,"(5,)",0,1,a1,informative,"('a6',)",4,0,0.0032241679212104968
2,"(5,)",0,1,a1,informative,"('a6',)",4,1,0.009660054928643413
2,"(5,)",0,1,a1,informative,"('a6',)",4,2,-0.005512535659822737
2,"(5,)",0,1,a1,informative,"('a6',)",4,3,0.0014700386165581447
2,"(5,)",0,1,a1,informative,"('a6',)",4,4,-0.005648874063458709
2,"(0,)",1,1,a2,informative,"('a1',)",0,0,0.19255147855953858
2,"(0,)",1,1,a2,informative,"('a1',)",0,1,0.2027999720226853
2,"(0,)",1,1,a2,informative,"('a1',)",0,2,0.13453713667949901
2,"(0,)",1,1,a2,informative,"('a1',)",0,3,0.1355242195282655
2,"(0,)",1,1,a2,informative,"('a1',)",0,4,0.11006418853821476
2,"(0,)",1,1,a2,informative,"('a1',)",1,0,0.19540802128548018
