order,target_feature,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit
1,X1,(),exp6_mixed_dgp_ns_raw.csv,0.033691533230660896,0.01578470600055552,0.004297703134160842,0.025305867815809437,0.03969035767790115,5,5,0,25,repeat_mean
1,X10,(),exp6_mixed_dgp_ns_raw.csv,0.0048674255054036684,0.011271873104841736,0.0015213883159481117,0.00230168421714502,0.007432790029279071,5,5,0,25,repeat_mean
1,X11,(),exp6_mixed_dgp_ns_raw.csv,0.0049775468792064405,0.015108438242765667,0.002569339139186005,-3.36721922445076e-05,0.008980960343607382,5,5,0,25,repeat_mean
1,X12,(),exp6_mixed_dgp_ns_raw.csv,-0.012272707071218197,0.014156711156877295,0.0018191883900973986,-0.015159777498413152,-0.008853307547989584,5,5,0,25,repeat_mean
1,X13,(),exp6_mixed_dgp_ns_raw.csv,-0.006423719838067028,0.016661778765263313,0.0018350123327441428,-0.009684409894764524,-0.003017453550149436,5,5,0,25,repeat_mean
1,X14,(),exp6_mixed_dgp_ns_raw.csv,-0.001628134352400424,0.013348104510950889,0.0006906271038922002,-0.003080139778510555,-0.0007798864119948557,5,5,0,25,repeat_mean
1,X15,(),exp6_mixed_dgp_ns_raw.csv,0.011463143837953113,0.012985693068697655,0.0007228318321100829,0.010260270192929999,0.012666017482976225,5,5,0,25,repeat_mean
1,X2,(),exp6_mixed_dgp_ns_raw.csv,0.0016168985238231154,0.01654802063894536,0.002786971607534274,-0.0029873726288570236,0.006745477311312068,5,5,0,25,repeat_mean
1,X3,(),exp6_mixed_dgp_ns_raw.csv,-0.008670365108748052,0.01517215643658996,0.004343940860246556,-0.0158203117268289,-0.001639463800125938,5,5,0,25,repeat_mean
1,X4,(),exp6_mixed_dgp_ns_raw.csv,0.04760379721894493,0.012469460985522391,0.0023045429671598623,0.04316078796099301,0.05091472099385779,5,5,0,25,repeat_mean
1,X5,(),exp6_mixed_dgp_ns_raw.csv,0.04716889753968728,0.011727083858824436,0.0012603807428465525,0.044766598030706824,0.049313651690234814,5,5,0,25,repeat_mean
1,X6,(),exp6_mixed_dgp_ns_raw.csv,0.002933692594287456,0.014994518292235895,0.0031714127299977447,-0.0033352465056376403,0.00770920988592502,5,5,0,25,repeat_mean
